country_language,amount_movies
Arabic,953
Albanian,80
Armenian,4
Spanish,985
German,834
English,1000
Azerbaijani,417
Bosnian,79
Bengali,25
Dutch,956
French,849
Bulgarian,993
Portuguese,820
Belarusian,55
Chinese,999
Czech,879
Danish,473
Estonian,665
Finnish,617
Georgian,128
Greek,926
Croatian,845
Hungarian,832
Indonesian,767
Hebrew,936
Hindi,1000
Persian,281
Icelandic,106
Italian,883
Japanese,1000
Kyrgyz,10
Korean,840
Kazakh,451
Sinhala,3
Lithuanian,959
Latvian,727
Montenegrin,4
Macedonian,46
Mongolian,2
Maltese,1
Malay,31
Norwegian,388
Nepali,1
Polish,897
Romanian,886
Serbian,988
Russian,993
Swedish,920
Slovenian,780
Slovak,807
Tajik,12
Turkmen,2
Turkish,921
Ukrainian,998
Uzbek,669
Vietnamese,958
Urdu,12
